Table key:
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary
               process other than recombination.
*            = The actual breakpoint position is undetermined (it was most likely either overprinted by a subsequent 
               recombination event or off the edges of the analysed sequence fragments).
$            = This might not be breakpoint - it is likey the edge of a genome segment (possibly exchanged during reassortment)
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant)
Minor Parent = Parent contributing the smaller fraction of sequence.
Major Parent = Parent contributing the larger fraction of sequence.
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.
NS           = No significant P-value was recorded for this recombination event using the particular method in question.

,,,Breakpoint Positions
,,In Alignment, ,In Recombinant Sequence, ,Relative to PX237222/NA/pigeon-FSU1/pigeon/2025,,, , , , , , Detection Methods
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
 1 ,1~, 5638*, 11925*, 3286*, 6952*, 3013*, 6586*,^OR827024/NA/GAstV-JSXZ/goose/2022,Unknown (OP272633/NA/AH33-3/goose/2021),MW786757/NA/SCCD/goose/2018,NS,NS,NS,NS,NS,NS,NS,NS,NS,
 1,,,,,,,,,,PP382209/NA/J3-2021/Jiangnan-White-Goose/2021
 1,,,,,,,,,,OR907132/NA/NA/Goose/2023
 1,,,,,,,,,,OR907131/NA/NA/Goose/2023
 1,,,,,,,,,,OM264913/NA/NA/goslings/2019
 1,,,,,,,,,,OM264912/NA/NA/goslings/2019
 1,,,,,,,,,,OM264911/NA/NA/goslings/2019
 1,,,,,,,,,,OM200916/NA/NA/goslings/2019
 1,,,,,,,,,,MW340534/NA/SCCD/goose/2019
 1,,,,,,,,,,MH410610/NA/NA/goslings/2017
 1,,,,,,,,,,OL762472/NA/JXYC/goose/NA
 1,,,,,,,,,,OL762471/NA/JXGZ/goose/NA

 2 ,2~, 486*, 5621, 303*, 3520, 327*, 3013,^OP272633/NA/AH33-3/goose/2021,Unknown (NC_034567/NA/FLX/Hortobagy-goose/2014),PP786658/NA/JY202323/goose/2023,NS,NS,NS,NS,NS,NS,NS,NS,NS,
 2,,,,,,,,,Unknown(KY271027/NA/FLX/Hortobagy-goose/2014),PP382209/NA/J3-2021/Jiangnan-White-Goose/2021
 2,,,,,,,,,,PP108251/NA/NA/goose/2023
 2,,,,,,,,,,OR907133/NA/NA/Goose/2023
 2,,,,,,,,,,OR907132/NA/NA/Goose/2023
 2,,,,,,,,,,OR907131/NA/NA/Goose/2023
 2,,,,,,,,,,OP776630/NA/NA/goose/2021
 2,,,,,,,,,,OM264914/NA/NA/goslings/2019
 2,,,,,,,,,,OM264913/NA/NA/goslings/2019
