1,2,id
PV093025/NA/NA/Neogale-vison/2023,1.0,PV093025
OR545548/NA/AAstV-Chicken-CHN-2022-SQ2201/chicken/2022,1.0,OR545548
MN725026/NA/NA/chicken/2018,1.0,MN725026
MN725025/NA/NA/chicken/2018,1.0,MN725025
MN807051/NA/AAstV-Chicken-CHN-2018-CZ1801/Gallus-gallus/2018,1.0,MN807051
OP169001/NA/AAstV-Chicken-CHN-2021-HA2101/chicken/2021,1.0,OP169001
PV093029/NA/NA/Neogale-vison/2023,1.0,PV093029
PV093028/NA/NA/Neogale-vison/2023,1.0,PV093028
PV093027/NA/NA/Neogale-vison/2023,1.0,PV093027
MK746105/NA/AAstV-Chicken-CHN-2017-NJ1701/chicken/2017,1.0,MK746105
PV093026/NA/NA/Neogale-vison/2023,1.0,PV093026
OM100597/NA/AstV-HB06-Goose-1226-19/goose/2019,2.0,OM100597
OP621331/NA/NA/goose/2019,2.0,OP621331
MW505487/NA/NA/goose/2019,2.0,MW505487
MN307120/NA/AstV-HN03-Goose-0402-19/goose/2019,2.0,MN307120
MN428642/NA/GD-AHAU2/goose/2018,2.0,MN428642
OP621330/NA/NA/goose/2021,2.0,OP621330
OM100596/NA/AstV-HB05-Goose-0812-19/goose/2019,2.0,OM100596
MW505486/NA/NA/goose/2019,2.0,MW505486
MN109957/NA/NA/goose/2018,2.0,MN109957
MN307119/NA/AstV-HB02-Goose-0310-19/goose/2019,2.0,MN307119
MN428641/NA/AHAU1/goose/2018,2.0,MN428641
OP484924/NA/NA/goose/2018,2.0,OP484924
OM100595/NA/AstV-HB04-Goose-0811-19/goose/2019,2.0,OM100595
MW505485/NA/NA/goose/2019,2.0,MW505485
MN109956/NA/NA/goose/2018,2.0,MN109956
MN307118/NA/AstV-HB01-Goose-0123-19/goose/2019,2.0,MN307118
MN175321/NA/NA/goose/2018,2.0,MN175321
OP484923/NA/NA/goose/2018,2.0,OP484923
OM100594/NA/AstV-HB03-Goose-0810-19/goose/2019,2.0,OM100594
MZ648231/NA/AAstV-Goose-CHN-2021-ZM/goose/2021,2.0,MZ648231
MN109955/NA/NA/goose/2018,2.0,MN109955
MN307117/NA/AstV-HN02-Goose-1119-18/goose/2018,2.0,MN307117
ON954324/NA/NA/goose/2021,2.0,ON954324
OM100593/NA/AstV-AN06-Goose-0714-19/goose/2019,2.0,OM100593
MN109954/NA/NA/goose/2018,2.0,MN109954
MN307116/NA/AstV-AH02-Goose-0715-18/goose/2018,2.0,MN307116
PV780437/NA/JX05/Anser-anser/2025,2.0,PV780437
OM100592/NA/AstV-AH05-Goose-0711-19/goose/2019,2.0,OM100592
MZ819184/NA/ZJLD/goose/2020,2.0,MZ819184
